                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.223,                 3.7054,                 2.3544,                0.31331,                0.15833,                0.08816,                0.04192,                   2.14,                 3.4805,                 2.4311,              0.0033215,              0.0033215,              0.0033215
                      1,                 2.2139,                 3.5407,                 2.3384,                0.27382,                0.13087,                0.07828,                0.03563,                 2.1244,                 3.3697,                 2.4253,              0.0066109,              0.0066109,              0.0066109
                      2,                 2.1807,                 3.4509,                 2.2983,                0.40942,                0.10415,                0.05176,                0.02218,                 2.1895,                  3.645,                 2.4792,              0.0098563,              0.0098563,              0.0098563
                      3,                 2.1427,                 3.3731,                 2.2638,                0.31993,                0.17834,                0.08556,                0.03752,                 2.0517,                 3.4055,                  2.328,               0.009802,               0.009802,               0.009802
                      4,                 2.0776,                 3.2184,                 2.1881,                0.45531,                0.16925,                0.12101,                0.05572,                 1.9917,                 3.1192,                 2.2558,               0.009802,               0.009802,               0.009802
                      5,                 2.0292,                 3.1172,                 2.1442,                0.40385,                0.21444,                0.14419,                0.06669,                 1.9631,                  2.922,                 2.2275,               0.009736,               0.009736,               0.009736
                      6,                 2.0071,                 3.0179,                 2.1162,                0.37297,                0.24411,                0.16295,                0.07707,                 1.9249,                 3.0122,                 2.1612,                0.00967,                0.00967,                0.00967
                      7,                  1.977,                 2.9269,                 2.0842,                0.40024,                0.25697,                 0.1964,                0.09453,                 1.8774,                 2.7421,                 2.1744,               0.009604,               0.009604,               0.009604
                      8,                 1.9537,                 2.8631,                 2.0515,                0.47393,                0.24899,                0.20775,                0.10326,                 1.8519,                  2.673,                 2.1264,               0.009538,               0.009538,               0.009538
                      9,                 1.9218,                  2.806,                  2.045,                0.37837,                0.27368,                0.21404,                0.10603,                 1.8488,                 2.6607,                 2.1371,               0.009472,               0.009472,               0.009472
                     10,                 1.9194,                 2.7348,                 2.0213,                0.33738,                 0.2959,                0.23281,                0.11898,                 1.8195,                  2.589,                 2.1121,               0.009406,               0.009406,               0.009406
                     11,                 1.8979,                 2.6905,                 2.0137,                0.46142,                0.29289,                0.25127,                0.12776,                 1.8113,                  2.522,                 2.0799,                0.00934,                0.00934,                0.00934
                     12,                 1.8907,                 2.6629,                 1.9978,                 0.3827,                0.32784,                0.25172,                0.12793,                 1.7888,                 2.5146,                 2.0468,               0.009274,               0.009274,               0.009274
                     13,                 1.8777,                 2.6111,                 1.9733,                0.40185,                 0.3217,                0.26854,                0.13805,                 1.7902,                 2.4961,                 2.0505,               0.009208,               0.009208,               0.009208
                     14,                 1.8707,                 2.5826,                 1.9704,                0.40008,                0.33546,                0.28461,                0.14612,                  1.773,                 2.4343,                   2.04,               0.009142,               0.009142,               0.009142
                     15,                 1.8605,                 2.5365,                 1.9648,                0.34082,                0.34593,                0.27075,                0.13767,                 1.7796,                 2.4468,                 2.0526,               0.009076,               0.009076,               0.009076
                     16,                 1.8501,                 2.5094,                 1.9563,                0.38457,                0.36286,                0.30149,                0.15394,                 1.7662,                  2.312,                 2.0463,                0.00901,                0.00901,                0.00901
                     17,                 1.8357,                 2.4723,                 1.9342,                0.38833,                0.37277,                0.30517,                 0.1571,                 1.7468,                 2.2651,                 2.0148,               0.008944,               0.008944,               0.008944
                     18,                 1.8209,                   2.45,                 1.9337,                0.35699,                0.37887,                0.31741,                0.16483,                 1.7513,                  2.248,                 2.0131,               0.008878,               0.008878,               0.008878
                     19,                 1.8176,                 2.4072,                 1.9103,                0.40852,                0.38321,                0.32565,                0.17201,                 1.7299,                 2.1889,                 1.9934,               0.008812,               0.008812,               0.008812
                     20,                 1.8163,                 2.3818,                 1.9082,                0.44398,                0.39523,                0.34025,                0.18021,                 1.7261,                 2.1608,                 1.9935,               0.008746,               0.008746,               0.008746
                     21,                 1.8037,                 2.3828,                 1.9111,                0.36874,                0.40844,                0.35153,                0.18477,                  1.719,                 2.1355,                 1.9689,                0.00868,                0.00868,                0.00868
                     22,                  1.802,                 2.3677,                 1.9032,                0.45385,                 0.3948,                0.35118,                0.18548,                 1.7126,                 2.1041,                  1.987,               0.008614,               0.008614,               0.008614
                     23,                 1.7897,                 2.3267,                 1.9004,                0.44625,                0.40695,                0.36334,                0.19524,                  1.682,                 2.0809,                 1.9439,               0.008548,               0.008548,               0.008548
                     24,                 1.7902,                 2.2873,                 1.8887,                0.40105,                0.42511,                 0.3655,                0.19295,                 1.6841,                 2.0974,                  1.945,               0.008482,               0.008482,               0.008482
                     25,                 1.7835,                 2.2935,                 1.8801,                0.50737,                 0.4046,                0.38029,                0.20437,                 1.6695,                 2.0343,                 1.9464,               0.008416,               0.008416,               0.008416
                     26,                 1.7717,                 2.2774,                 1.8688,                0.41902,                0.42192,                 0.3727,                0.20047,                 1.6788,                  2.036,                   1.93,                0.00835,                0.00835,                0.00835
                     27,                 1.7643,                 2.2441,                 1.8587,                0.38691,                0.43282,                0.37759,                0.20264,                 1.6783,                  2.011,                 1.9165,               0.008284,               0.008284,               0.008284
                     28,                 1.7672,                 2.2287,                 1.8626,                0.43992,                0.43881,                 0.3956,                0.21488,                 1.6644,                 1.9844,                  1.916,               0.008218,               0.008218,               0.008218
                     29,                 1.7599,                 2.2185,                 1.8599,                 0.4328,                0.44442,                0.40585,                0.22171,                 1.6372,                 1.9416,                 1.9079,               0.008152,               0.008152,               0.008152
                     30,                 1.7503,                 2.1891,                 1.8599,                0.45631,                0.45437,                0.40682,                0.22213,                 1.6545,                 1.9497,                 1.9056,               0.008086,               0.008086,               0.008086
                     31,                 1.7521,                  2.178,                 1.8496,                0.43086,                0.45567,                0.40696,                0.22184,                 1.6365,                 1.9519,                 1.8994,                0.00802,                0.00802,                0.00802
                     32,                 1.7356,                 2.1582,                 1.8265,                0.44752,                0.46895,                  0.424,                0.23245,                 1.6321,                 1.9135,                 1.8907,               0.007954,               0.007954,               0.007954
                     33,                 1.7441,                 2.1437,                 1.8422,                0.46788,                0.46579,                0.42585,                0.23337,                 1.6323,                 1.8851,                 1.8787,               0.007888,               0.007888,               0.007888
                     34,                 1.7387,                 2.1047,                 1.8348,                0.45349,                0.46877,                0.42333,                0.23227,                 1.6316,                 1.8707,                 1.8768,               0.007822,               0.007822,               0.007822
                     35,                 1.7245,                 2.1116,                 1.8246,                0.48828,                0.48021,                0.43964,                 0.2456,                  1.608,                 1.8613,                 1.8711,               0.007756,               0.007756,               0.007756
                     36,                 1.7215,                 2.0914,                 1.8218,                 0.4932,                0.47651,                0.44312,                0.24587,                 1.6048,                 1.8211,                 1.8682,                0.00769,                0.00769,                0.00769
                     37,                  1.724,                 2.0969,                 1.8245,                0.44625,                0.49705,                0.45467,                0.25369,                 1.6038,                 1.8061,                 1.8557,               0.007624,               0.007624,               0.007624
                     38,                 1.7169,                 2.0703,                 1.8136,                0.47505,                0.49114,                0.45774,                0.25479,                  1.614,                 1.7878,                 1.8547,               0.007558,               0.007558,               0.007558
                     39,                 1.7035,                 2.0625,                 1.8015,                0.45285,                0.50299,                0.46167,                0.25725,                 1.5857,                 1.7911,                 1.8405,               0.007492,               0.007492,               0.007492
                     40,                 1.6965,                 2.0243,                 1.7937,                0.49373,                0.49908,                0.46281,                0.25811,                 1.5952,                  1.787,                 1.8429,               0.007426,               0.007426,               0.007426
                     41,                 1.6972,                 2.0403,                 1.7942,                0.47201,                0.50886,                0.47177,                0.26596,                 1.5868,                 1.7748,                 1.8261,                0.00736,                0.00736,                0.00736
                     42,                 1.6891,                 2.0015,                 1.7749,                0.49742,                0.49839,                0.48166,                0.27148,                  1.573,                 1.7324,                 1.8244,               0.007294,               0.007294,               0.007294
                     43,                 1.6995,                 2.0088,                 1.7897,                0.49244,                0.51113,                 0.4852,                0.27395,                 1.5717,                 1.7182,                 1.8173,               0.007228,               0.007228,               0.007228
                     44,                 1.6933,                 1.9942,                 1.7863,                0.51569,                0.49315,                0.48846,                0.27868,                 1.5575,                 1.7092,                 1.8051,               0.007162,               0.007162,               0.007162
                     45,                 1.6911,                  1.987,                 1.7878,                0.50062,                0.52427,                0.50341,                0.28543,                 1.5623,                  1.695,                 1.8139,               0.007096,               0.007096,               0.007096
